Project Name,Package Name,Type Name,Method Name,Code Smell
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,BitboardAttacksMagic,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,BitboardAttacksMagic,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,BitboardAttacksMagic,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,BitboardAttacksMagic,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,BitboardAttacksMagic,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,BitboardAttacksMagic,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,magicTransform,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,changeEndianArray64,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,changeEndianArray64,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,changeEndianArray64,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,changeEndianArray64,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,changeEndianArray64,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,changeEndianArray64,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,flipHorizontalIndex,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,flipHorizontalIndex,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,flipHorizontalIndex,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,algebraic2Index,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,algebraic2Square,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,getFile,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,getRankLsb,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,getRankMsb,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,getFileOfIndex,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,getFileOfIndex,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,getRankOfIndex,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,frontPawnSpan,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,frontPawnSpan,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,frontPawnSpan,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,frontFile,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,frontFile,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,frontFile,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,sameRankOrFile,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,sameRankOrFile,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,sameRankOrFile,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,sameRankOrFile,Magic Number
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,findMagics,Complex Method
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,findMagics,Long Statement
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,findMagics,Magic Number
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,findMagics,Magic Number
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,findMagics,Magic Number
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,findMagics,Magic Number
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,findMagics,Magic Number
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,findMagics,Magic Number
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,main,Long Statement
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,main,Long Statement
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,main,Magic Number
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,main,Magic Number
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,main,Magic Number
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,main,Magic Number
carballo,com.alonsoruibal.chess,Board,Board,Magic Number
carballo,com.alonsoruibal.chess,Board,Board,Magic Number
carballo,com.alonsoruibal.chess,Board,startPosition,Long Identifier
carballo,com.alonsoruibal.chess,Board,startPosition,Magic Number
carballo,com.alonsoruibal.chess,Board,startPosition,Magic Number
carballo,com.alonsoruibal.chess,Board,startPosition,Magic Number
carballo,com.alonsoruibal.chess,Board,canCastleKingSide,Long Statement
carballo,com.alonsoruibal.chess,Board,canCastleKingSide,Magic Number
carballo,com.alonsoruibal.chess,Board,canCastleKingSide,Magic Number
carballo,com.alonsoruibal.chess,Board,canCastleKingSide,Magic Number
carballo,com.alonsoruibal.chess,Board,canCastleQueenSide,Long Statement
carballo,com.alonsoruibal.chess,Board,canCastleQueenSide,Magic Number
carballo,com.alonsoruibal.chess,Board,canCastleQueenSide,Magic Number
carballo,com.alonsoruibal.chess,Board,canCastleQueenSide,Magic Number
